Taxon	Name	TaxID
Genus	Acidianus	12914
Species	Aigarchaeota archaeon	2528703
Genus	Archaeoglobus	2233
Phylum	Bathyarchaeota	928852
Genus	Caldivirga	76886
Phylum	Candidatus Brockarchaeota	2587344
Phylum	Candidatus Nezhaarchaeota	2546568
Genus	Desulfurococcus	2273
Genus	Desulfurolobus	12914
Genus	Euryarchaeota	28890
Genus	Ferroplasma	74968
Phylum	Geoarchaeota	1448933
Class	Hadesarchaea	1775750
Genus	Haloferax	2251
Genus	Hyperthermus	54247
Genus	Ignicoccus	54258
Phylum	Korarchaeota	28889
Genus	Metallosphaera	41980
Genus	Methanococcus	2184
Genus	Methanopyrus	2319
Genus	Methanosarcina	2207
Genus	Methanothermobacter	145260
Genus	Nanoarchaeum	193568
Genus	Nanopusillus	1890407
Genus	Picrophilus	46631
Genus	Pyrobaculum	2276
Genus	Pyrococcus	2260
Genus	Pyrodictium	2308
Genus	Pyrolobus	54251
Genus	Staphylothermus	2279
Genus	Stygiolobus	41674
Family	Sulfolobaceae	118883
Genus	Sulfolobus	2284
Genus	Sulfurisphaera	69655
Genus	Thaumarchaeota	651137
Genus	Thermocladium	62608
Genus	Thermococcus	2263
Genus	Thermoplasma	2302
Order	Thermoproteales	2266
Genus	Thermoproteota	28889
Genus	Thermoproteus	2270
Genus	Vulcanisaeta	164450
